ballx	ballz	joint0	joint1	joint2
15.482855796813965	20.55636215209961	33.0	91.0	14.0
24.391319274902344	10.133143424987793	111.0	5.0	26.0
10.989754676818848	33.50407409667969	21.0	13.0	60.0
17.101030349731445	19.747203826904297	47.0	54.0	55.0
23.773513793945312	11.505016326904297	94.0	13.0	34.0
8.425288200378418	7.289220809936523	85.0	106.0	38.0
10.408767700195312	12.9882173538208	58.0	94.0	62.0
8.293045043945312	10.277471542358398	82.0	90.0	79.0
9.179298400878906	9.359546661376953	112.0	57.0	119.0
12.998284339904785	23.753337860107422	28.0	52.0	74.0
8.739130973815918	37.02806854248047	16.0	23.0	22.0
9.723342895507812	13.713679313659668	46.0	115.0	35.0
21.269336700439453	22.82927703857422	61.0	16.0	47.0
9.430996894836426	35.182533264160156	18.0	10.0	54.0
17.63957977294922	19.754688262939453	63.0	4.0	99.0
10.668243408203125	14.835769653320312	41.0	111.0	34.0
7.395617485046387	15.049402236938477	60.0	95.0	93.0
11.857398986816406	17.45052146911621	34.0	96.0	45.0
6.368343830108643	9.540616989135742	114.0	88.0	97.0
9.490012168884277	23.98625373840332	7.0	69.0	74.0
18.580829620361328	16.705883026123047	63.0	37.0	67.0
15.689836502075195	7.903708457946777	85.0	58.0	57.0
3.592876434326172	8.274323463439941	107.0	118.0	51.0
15.776983261108398	33.52273941040039	37.0	27.0	5.0
16.675567626953125	8.612608909606934	97.0	10.0	100.0
8.684772491455078	10.225201606750488	66.0	120.0	27.0
11.151813507080078	32.01650619506836	18.0	25.0	61.0
4.1066789627075195	11.08132266998291	105.0	114.0	80.0
16.210269927978516	19.76394271850586	55.0	24.0	94.0
12.05899429321289	22.33489227294922	17.0	94.0	30.0
12.11188793182373	6.404629707336426	92.0	67.0	66.0
16.83565902709961	8.925063133239746	76.0	85.0	12.0
12.573373794555664	33.218868255615234	27.0	10.0	56.0
8.587017059326172	25.970808029174805	14.0	44.0	97.0
4.0194292068481445	10.21993637084961	104.0	113.0	74.0
9.33575439453125	36.17732238769531	6.0	44.0	3.0
10.2408447265625	7.42851448059082	103.0	50.0	106.0
9.898313522338867	3.999183177947998	103.0	73.0	59.0
17.0821533203125	7.125058650970459	115.0	5.0	96.0
7.576688289642334	11.202667236328125	72.0	105.0	64.0
4.3282575607299805	17.157089233398438	65.0	120.0	99.0
1.897355318069458	19.73957061767578	24.0	115.0	104.0
9.908839225769043	13.399600982666016	52.0	104.0	51.0
5.668032646179199	10.38127326965332	87.0	109.0	69.0
9.652682304382324	31.785924911499023	19.0	6.0	86.0
13.008898735046387	10.928038597106934	63.0	101.0	26.0
10.931363105773926	25.752153396606445	24.0	34.0	96.0
13.273811340332031	20.64924430847168	33.0	68.0	65.0
3.284954071044922	39.76852035522461	14.0	10.0	1.0
12.32203483581543	14.526859283447266	50.0	90.0	53.0
15.370124816894531	26.31658935546875	28.0	56.0	39.0
6.072848320007324	11.423393249511719	112.0	96.0	105.0
14.235523223876953	20.27910614013672	40.0	56.0	74.0
11.849185943603516	32.24917221069336	12.0	65.0	4.0
12.065512657165527	23.80597686767578	40.0	13.0	119.0
14.059296607971191	30.680788040161133	23.0	45.0	32.0
15.745911598205566	14.00008773803711	62.0	62.0	63.0
14.08578109741211	27.827970504760742	24.0	48.0	49.0
11.063968658447266	28.808345794677734	18.0	33.0	77.0
8.275291442871094	4.4018425941467285	113.0	84.0	55.0
6.253939628601074	12.877553939819336	110.0	102.0	112.0
14.061487197875977	14.978774070739746	47.0	98.0	26.0
4.333925247192383	12.95892333984375	97.0	119.0	86.0
6.068195819854736	20.599977493286133	32.0	77.0	118.0
14.450273513793945	7.031083106994629	112.0	17.0	106.0
15.614641189575195	9.978224754333496	76.0	64.0	56.0
18.343473434448242	10.892844200134277	83.0	30.0	74.0
17.063060760498047	23.96964454650879	41.0	39.0	58.0
10.981002807617188	22.328800201416016	17.0	83.0	54.0
22.375394821166992	9.68925666809082	89.0	45.0	12.0
12.662653923034668	25.16733741760254	15.0	84.0	26.0
19.089096069335938	5.155209064483643	120.0	25.0	55.0
13.39101791381836	15.812582969665527	60.0	51.0	96.0
1.5110368728637695	18.936729431152344	1.0	120.0	90.0
7.505921363830566	30.711015701293945	9.0	8.0	101.0
23.431983947753906	7.753814697265625	119.0	22.0	17.0
14.772442817687988	8.625688552856445	95.0	24.0	103.0
23.0291690826416	19.690494537353516	68.0	36.0	14.0
21.223739624023438	5.281304359436035	102.0	40.0	15.0
19.038822174072266	11.030134201049805	73.0	75.0	11.0
20.374303817749023	5.701498985290527	104.0	22.0	48.0
12.608148574829102	18.52996253967285	46.0	56.0	92.0
15.863746643066406	25.415935516357422	29.0	65.0	28.0
17.672348022460938	8.397866249084473	81.0	69.0	27.0
20.274913787841797	20.590843200683594	52.0	66.0	4.0
16.767024993896484	6.601925849914551	108.0	11.0	92.0
10.033472061157227	20.234508514404297	10.0	114.0	22.0
14.47313117980957	29.277128219604492	22.0	60.0	20.0
12.126640319824219	19.896522521972656	34.0	69.0	75.0
16.08530044555664	11.577829360961914	67.0	76.0	39.0
20.865022659301758	6.618401050567627	114.0	13.0	55.0
13.00844669342041	14.428136825561523	45.0	119.0	0.0
15.907687187194824	34.029205322265625	42.0	13.0	10.0
12.261154174804688	3.878098964691162	99.0	70.0	48.0
